Player ID,Playing Level,Squad,Position,DOB (DD/MM/YYYY),Date of Measurement,Age (years),Stature (cm),Body Mass (kg),Temperature (°C),Humidity (%),Pressure (mbar),vIFT (km·hr),Final Stage Avg. Meters Per Second (m·s),Final Stage Distance (m),MAS (km·hr),MAS (m·s),Est. VO2max (ml·min·kg)
player_03,CAT 1 Academy,U18,ST,3/27/2006,"Tuesday, April 16, 2024",18.1,185.5,75.8,10,58,1012,22.0,6.1,183.3,19.14,5.32,56.00
player_09,CAT 1 Academy,U18,ST,5/19/2007,"Tuesday, April 16, 2024",16.9,180.5,79.6,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.21
player_11,CAT 1 Academy,U18,CB,11/21/2006,"Tuesday, April 16, 2024",17.4,193.0,76.4,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.55
player_12,CAT 1 Academy,U18,CB,9/17/2006,"Tuesday, April 16, 2024",17.6,193.2,90.4,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.13
player_05,CAT 1 Academy,U18,CM,12/11/2006,"Tuesday, April 16, 2024",17.3,176.6,71.2,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.71
player_10,CAT 1 Academy,U18,CB,9/7/2005,"Tuesday, April 16, 2024",18.6,190.5,73.0,10,58,1012,20.5,5.7,170.8,17.84,4.95,53.22
player_13,CAT 1 Academy,U18,FB,12/1/2006,"Tuesday, April 16, 2024",17.4,176.0,74.4,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.61
player_01,CAT 1 Academy,U18,CM,1/29/2007,"Tuesday, April 16, 2024",17.2,181.0,72.8,10,58,1012,21.0,5.8,175.0,18.27,5.08,53.61
player_02,CAT 1 Academy,U18,CB,9/19/2005,"Tuesday, April 16, 2024",18.6,182.4,75.3,10,58,1012,21.5,6.0,179.2,18.71,5.20,55.24
player_06,CAT 1 Academy,U18,CM,8/9/2007,"Tuesday, April 16, 2024",16.7,170.0,66.8,10,58,1012,21.5,6.0,179.2,18.71,5.20,54.57
player_04,CAT 1 Academy,U18,AM,4/9/2006,"Tuesday, April 16, 2024",18.0,176.8,69.6,10,58,1012,22.0,6.1,183.3,19.14,5.32,56.20
player_07,CAT 1 Academy,U18,FB,10/29/2006,"Tuesday, April 16, 2024",17.5,176.0,65.8,10,58,1012,22.0,6.1,183.3,19.14,5.32,56.04
player_14,NL Academy,U19,CB,11/14/2006,"Friday, July 19, 2024",17.7,182.4,84.4,26,50,1013,19.5,5.4,162.5,16.97,4.71,50.32
